name,2015-06-26,2015-12-31,2016-06-24,2016-12-30,2017-06-30,2017-12-31,2018-06-30,2018-12-28,2019-06-30,2019-12-27,2020-06-26,2020-12-31,2021-06-25,2021-12-31,2022-06-24
均成CTA1号,0,0,0,0,0,0.115266037,0.123846927,0.277061445,0.525885559,-0.067896389,0.271103896,0.429380308,0.044168096,0.011072237,0.160353656
博普CTA趋势1号,0,0,0,0,0,0,0.004235619,0.096342551,0.034694615,0.070752631,0.964182823,0.602535994,0.03883538,0.165922938,0.029502262
与取华山6号,0,0,0,0,0,0,0,0.410259476,0.112853994,-0.087376426,0.65648348,0.344118215,0.076738694,-0.041280798,0.308786641
千象21期,0,0,0,0,0,0,0,0,0.304246478,-0.167393133,0.470651014,0.466358409,0.063186916,0.311093508,0.215544068
福克斯投资激进壹号,0,0,0,0,0,0,0,0,0,0.816,0.074916759,0.132066033,0.072998398,0.184808981,0.357890586
九坤CTA专享2号,0,0,0,0,0.132,0.136602452,0.130920535,0.093377298,0.323259544,0.093149622,0.124120536,0.087112266,0.115621826,0.030907668,-0.016090079
丰诺丰收9号,0,0,0,0,0,0,0,0,0,0,-0.177742194,0.489043825,0.746440678,0.1687251,0.188297205
上海宽德卓越,0,0,0,0.009027081,0.257466529,0.108196721,0.036323202,0.051100071,0.137720488,0.003541913,0.159276417,0.153436104,0.178089888,0.109402058,-0.052862895
冲和小奖章一号,0,0,0,0,0,0.214926513,0.116747246,0.033033883,0.150803461,-0.015884305,0.146602174,0.223805753,-0.062009729,0.187546331,0.101320725
渤海期货远澜翠柏2号,0,0,0,0,0,0,-0.003024194,0.174358974,0.081668115,0.031075697,0.329272031,0.332104384,-0.097488747,-0.091340451,0.438543648
洛书尊享CTA拾壹号,0,0,0,0,0,0,0.008946322,0.049407115,0.265096154,-0.111354537,0.232411001,0.503658778,-0.006668139,0.195972321,0.013480166
均成博孚利1号,0,0,0,0,0,0,0,0,0,-0.070557491,0.49594229,0.470971564,0.040566399,0.001106195,0.22885906
恒健远志量化趋势,0,0,0,0,0,0,0,0.1631,0.038901211,-0.113606121,0.323300704,0.177426044,0.003180626,0.121245699,0.337731849
量金睿丰2号,0,0,0,0,0,0,0,0,0.053010602,-0.065182978,0.253332007,0.475099679,0.176338394,-0.113823103,0.314589283
宏锡2号,0,0,0,0.187581372,-0.047984973,0.175252161,-0.010571803,0.144311608,-0.008054772,0.106333606,0.143454982,0.152779965,0.003687283,-0.030231523,0.164493847
黑翼CTA二号,0,0,0.013039117,-0.049370765,0.076452599,0.076285714,0.084304379,0.109123146,0.205996747,-0.019066287,0.142874216,0.144153541,0.012120124,0.04959913,0.090952299
元盛三号,0,0.134453782,0.084773663,0.092395167,-0.034482759,0.052560647,0.017925736,0.078616352,0.044314869,-0.003908431,0.021482277,0.238583889,0.032846715,0.093935791,0.034909091
明得浩伦CTA一号,0,0,0,0.150139795,-0.047898817,0.097643957,-0.017006803,0.068259919,0.076256373,-0.076793078,0.16653398,0.250662739,-0.055503669,0.228539315,0.056908718
双隆-隆富2号,0,0,0,0,0,0.049170616,0.027545361,0.204704797,0.038174905,-0.039076766,0.107244001,0.29520897,0.101820426,0.0495142,0.02809932
黑翼CTA-T1,0,0,0,0,0.000404981,0.040949794,0.057242313,0.085716905,0.090695922,0.032280325,0.109827865,0.13612147,-0.017622426,0.124769222,0.080221227
千象3期,0,0,0.08534865,0.071122613,-0.004022796,0.037439412,0.027694792,0.065399359,0.103108808,-0.066212789,0.133055104,0.119789408,0.033407092,0.069624573,0.064951923
浙江白鹭量化CTA一号,0,0,0,0,0,0,0,0,0.055055055,0.02464455,0.297794118,0.204140351,0.049440881,0.001983799,0.132026931
堃熙源沣11号,0,0,0,0,0,0,0.01734104,0.029925432,0.116490022,0.046444614,0.037821364,0.045529677,0.042640579,-0.131554206,0.389178194
思博量道十五号,0,0,0,0,0,0.152800228,0.053668144,0.041982686,0.058810764,0.021907836,0.118016154,0.020780781,0.038328141,-0.003442632,0.009565316
颐聚稳健回报5号,0,0,0,0,0,0,0,0,-0.157963185,0.025191676,0.093557556,0.509941165,-0.399591306,0.656847965,0.133833049
思新四十七号,0,0,0,0,0,0,0,0,0,0,0.139053254,0.034752389,0.028547439,0.04703974,0.244976816
金祥盈价值发现2号,0,0,0,0,0,0,0,0,0,-0.04004004,-0.096544715,-0.04519774,-0.16254417,0.316326531,0.711060743
会世泰和CTA1号,0,0,0,0,0,0,0,0,0,-0.02907691,0.108263773,0.160656721,0.036117526,0.06400503,0.051168997
盛冠达CTA基本面量化1号,0,0,0,0,0,0,0,0,0,-0.011112175,0.149484039,0.141830338,0.018099221,0.056973759,-0.046283692
君拙倚天一号,0,0,0,0,0,0,0,0,0,0,0.138401559,0.168865435,-0.08228863,0.010974503,0.002996194
富励业长江1号宏观量化,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079429735,0.115862709
皓邦尊享CTA1号,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098136767,0.07591944
量客中宇一号,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105411103
博瑞量化稳健1号,0,0,0,0,0,0,-0.051434224,0.041533546,0.030494217,0.001010101,0.154985192,-0.355555556,0.349551857,-0.326234269,0.581325301
衍盛量化CTA三号,0,0,0,0,0,0,0,0,0,0,0,0,0.021875,-0.036151908,0.002890696
恒和鑫对冲1号,0,0,0,0,0,0,0,-0.08778626,-0.103484688,0.370361991,-0.30135265,-0.34433746,-0.198308738,0.023529412,0.44729802
