time,rate,rate2,
2015-06-26,1,1,
2015-07-03,1.009673881,1.009673881,
2015-07-10,1.019347761,1.019347761,
2015-07-17,1.029021642,1.029021642,
2015-07-24,1.038695522,1.038695522,
2015-07-31,1.048369403,1.048369403,
2015-08-07,1.033409794,1.033409794,
2015-08-14,1.018450185,1.018450185,
2015-08-21,1.003490575,1.003490575,
2015-08-28,1.012466341,1.007978458,
2015-09-02,1.014441009,1.008961416,
2015-09-11,1.016415678,1.009438936,
2015-09-18,1.018390346,1.009257476,
2015-09-25,1.020365014,1.010944776,
2015-09-30,1.022339683,1.013695516,
2015-10-09,1.025705595,1.010000238,
2015-10-16,1.029071507,1.011657425,
2015-10-23,1.032437419,1.011372296,
2015-10-30,1.035803331,1.013789279,
2015-11-06,1.06721851,1.035674171,
2015-11-13,1.098633689,1.054588986,
2015-11-20,1.130048868,1.068684272,
2015-11-27,1.104019148,1.056777244,
2015-12-04,1.101326419,1.054613722,
2015-12-11,1.098633689,1.051203248,
2015-12-18,1.095940959,1.047964999,
2015-12-25,1.09324823,1.051958635,
2015-12-31,1.0905555,1.050990373,
2016-01-08,1.08333534,1.044032159,
2016-01-15,1.08549312,1.046111655,
2016-01-22,1.087054176,1.047616077,
2016-01-29,1.084039774,1.044711036,
2016-02-05,1.091085894,1.051501524,
2016-02-19,1.093511185,1.053838827,
2016-02-26,1.096897986,1.057102755,
2016-03-04,1.113471951,1.07307542,
2016-03-11,1.12661045,1.082223501,
2016-03-18,1.134792603,1.090012232,
2016-03-25,1.130428817,1.083350629,
2016-04-01,1.135477357,1.087415301,
2016-04-08,1.137112879,1.087770855,
2016-04-15,1.149880676,1.099561297,
2016-04-22,1.18220872,1.133717787,
2016-04-29,1.180393944,1.128414823,
2016-05-06,1.160416559,1.113178363,
2016-05-13,1.16016371,1.112119963,
2016-05-20,1.158094422,1.111883742,
2016-05-27,1.156011221,1.107460868,
2016-06-03,1.160932314,1.108524349,
2016-06-08,1.15524633,1.099689908,
2016-06-17,1.144324834,1.089971315,
2016-06-24,1.151614366,1.091852912,
2016-07-01,1.208034926,1.143946881,
2016-07-08,1.207949979,1.147030894,
2016-07-15,1.224628494,1.160320179,
2016-07-22,1.207338451,1.14558552,
2016-07-29,1.200617675,1.138236842,
2016-08-05,1.203847479,1.137156191,
2016-08-12,1.212234313,1.139453007,
2016-08-19,1.213502919,1.140437876,
2016-08-26,1.20600811,1.133627269,
2016-09-02,1.19632486,1.123483585,
2016-09-09,1.183552729,1.112823187,
2016-09-14,1.17861738,1.108964752,
2016-09-23,1.172853097,1.107644991,
2016-09-30,1.175290182,1.107923449,
2016-10-14,1.196694672,1.122503415,
2016-10-21,1.20984161,1.130914018,
2016-10-28,1.25758565,1.157808164,
2016-11-04,1.279650139,1.185633948,
2016-11-11,1.373441697,1.246431578,
2016-11-18,1.30072597,1.199257718,
2016-11-25,1.335965034,1.239897469,
2016-12-02,1.330809899,1.235291602,
2016-12-09,1.333924114,1.237193778,
2016-12-16,1.356393373,1.248330639,
2016-12-23,1.344191574,1.24122197,
2016-12-30,1.335949648,1.232254908,
2017-01-06,1.333228657,1.221302055,
2017-01-13,1.329647698,1.214682686,
2017-01-20,1.326472382,1.205667368,
2017-01-26,1.337074645,1.214006395,
2017-02-03,1.32597373,1.200049191,
2017-02-10,1.326938794,1.198889635,
2017-02-17,1.335068138,1.214863849,
2017-02-24,1.343822024,1.207153496,
2017-03-03,1.336814048,1.203028873,
2017-03-10,1.353828882,1.234932024,
2017-03-17,1.347686384,1.23557058,
2017-03-24,1.348984511,1.231184539,
2017-03-31,1.347452759,1.235630878,
2017-04-07,1.358243954,1.238335555,
2017-04-14,1.367393376,1.242822338,
2017-04-21,1.367520907,1.242263692,
2017-04-28,1.351427696,1.231767285,
2017-05-05,1.3672597,1.247287816,
2017-05-12,1.365142104,1.248102387,
2017-05-19,1.345667074,1.236438777,
2017-05-26,1.345052478,1.232769724,
2017-06-02,1.358758458,1.243549254,
2017-06-09,1.352154597,1.238843745,
2017-06-16,1.335677422,1.240157879,
2017-06-23,1.329840921,1.2447489,
2017-06-30,1.345660286,1.264673658,
2017-07-07,1.356950474,1.268629668,
2017-07-14,1.355010671,1.279054902,
2017-07-21,1.360342608,1.285741878,
2017-07-28,1.386811646,1.301522843,
2017-08-04,1.447403373,1.33065457,
2017-08-11,1.479365805,1.349020937,
2017-08-18,1.493545871,1.358771785,
2017-08-25,1.531988289,1.383303804,
2017-09-01,1.515863886,1.380805263,
2017-09-08,1.514226729,1.384912167,
2017-09-15,1.503467154,1.373446971,
2017-09-22,1.499562873,1.385665937,
