time,rate,rate2
2015-12-31,1,1
2016-01-08,0.993379374,0.993379374
2016-01-15,0.99535798,0.99535798
2016-01-22,0.996789412,0.996789412
2016-01-29,0.994025314,0.994025314
2016-02-05,1.000486352,1.000486352
2016-02-19,1.002710257,1.002710257
2016-02-26,1.00581583,1.00581583
2016-03-04,1.021013558,1.021013558
2016-03-11,1.033061087,1.029717806
2016-03-18,1.040563825,1.037128655
2016-03-25,1.036562391,1.03079025
2016-04-01,1.04119172,1.034657718
2016-04-08,1.042691434,1.034996022
2016-04-15,1.054399043,1.046214432
2016-04-22,1.084042692,1.078713769
2016-04-29,1.082378608,1.073668087
2016-05-06,1.064060068,1.059170847
2016-05-13,1.063828214,1.058163796
2016-05-20,1.061930751,1.057939036
2016-05-27,1.060020532,1.053730744
2016-06-03,1.064532996,1.054742628
2016-06-08,1.059319154,1.046336804
2016-06-17,1.049304537,1.037089723
2016-06-24,1.055988774,1.038880031
2016-07-01,1.101989424,1.088446583
2016-07-08,1.106690573,1.091380971
2016-07-15,1.116487072,1.104025506
2016-07-22,1.100751792,1.090005722
2016-07-29,1.095629921,1.083013576
2016-08-05,1.090708195,1.081985354
2016-08-12,1.085244606,1.084170737
2016-08-19,1.084922767,1.085107823
2016-08-26,1.077410247,1.078627643
2016-09-02,1.065707327,1.068976095
2016-09-09,1.059803,1.058832902
2016-09-14,1.059258894,1.055161665
2016-09-23,1.062637727,1.053905934
2016-09-30,1.057939518,1.054170883
2016-10-14,1.066416594,1.068043479
2016-10-21,1.069890577,1.076046029
2016-10-28,1.077289857,1.101635366
2016-11-04,1.110172877,1.12811114
2016-11-11,1.140752797,1.185959082
2016-11-18,1.116723602,1.141073932
2016-11-25,1.16259384,1.179741984
2016-12-02,1.153614217,1.175359578
2016-12-09,1.158655782,1.177169467
2016-12-16,1.157308576,1.187766007
2016-12-23,1.153552536,1.181002225
2016-12-30,1.144403471,1.172470214
2017-01-06,1.128943401,1.162048756
2017-01-13,1.114866388,1.155750535
2017-01-20,1.101484087,1.147172608
2017-01-26,1.10442058,1.155107055
2017-02-03,1.0838884,1.141827006
2017-02-10,1.082323961,1.140723707
2017-02-17,1.105515454,1.155922909
2017-02-24,1.102068772,1.148586635
2017-03-03,1.102398314,1.144662124
2017-03-10,1.153237336,1.175017446
2017-03-17,1.148845256,1.175625021
2017-03-24,1.154953133,1.171451776
2017-03-31,1.161632058,1.175682394
2017-04-07,1.167761192,1.178255849
2017-04-14,1.169643803,1.18252495
2017-04-21,1.169689153,1.181993407
2017-04-28,1.163814104,1.172006249
2017-05-05,1.195223051,1.186773778
2017-05-12,1.194501592,1.187548829
2017-05-19,1.182775752,1.176451096
2017-05-26,1.17773032,1.172960053
2017-06-02,1.202583742,1.183216598
2017-06-09,1.193748981,1.178739384
2017-06-16,1.182789433,1.17998976
2017-06-23,1.1804811,1.184358041
2017-06-30,1.205666613,1.20331612
2017-07-07,1.20454343,1.207080199
2017-07-14,1.214378693,1.216999636
2017-07-21,1.233489283,1.223362184
2017-07-28,1.24253982,1.238377512
2017-08-04,1.255876534,1.266095869
2017-08-11,1.27702348,1.283571165
2017-08-18,1.282113832,1.292848935
2017-08-25,1.308461489,1.316190747
2017-09-01,1.310966516,1.313813426
2017-09-08,1.315593522,1.317721078
2017-09-15,1.303860151,1.306812133
2017-09-22,1.324318328,1.318438277
2017-09-29,1.338074429,1.325689602
2017-10-13,1.329683209,1.322922215
2017-10-20,1.330412183,1.32134664
2017-10-26,1.332156469,1.320731057
2017-10-27,1.333879348,1.320142774
2017-11-03,1.326420979,1.312599721
2017-11-10,1.325924656,1.314993842
2017-11-17,1.321317141,1.31438493
2017-11-24,1.334392717,1.320347553
2017-12-01,1.333798847,1.329413029
2017-12-05,1.336130708,1.33349554
2017-12-08,1.338404931,1.337256382
2017-12-15,1.324564301,1.332412002
2017-12-22,1.330531272,1.341422747
2017-12-29,1.324502453,1.331865625
2017-12-31,1.322989371,1.330539121
2018-01-05,1.320476054,1.328959593
2018-01-12,1.321341895,1.324213213
2018-01-19,1.320707645,1.320501815
2018-01-26,1.329847526,1.327601581
2018-02-02,1.343071323,1.334963365
2018-02-09,1.331838773,1.335899423
2018-02-14,1.335018203,1.335147521
2018-02-23,1.33722482,1.331860037
2018-02-28,1.340740365,1.333064927
2018-03-02,1.344255027,1.334193124
2018-03-09,1.355334271,1.33717413
2018-03-16,1.349672532,1.334107143
2018-03-23,1.370118101,1.366771111
2018-03-30,1.380300514,1.374220054
2018-03-31,1.378566381,1.371483961
2018-04-04,1.376818053,1.368478908
2018-04-13,1.371732864,1.365460786
2018-04-20,1.369529143,1.361558762
2018-04-27,1.373008005,1.364838021
2018-05-04,1.377041448,1.367377592
2018-05-08,1.378907275,1.367483559
2018-05-11,1.380770851,1.366135076
2018-05-18,1.384001632,1.372143122
2018-05-25,1.381033743,1.359103594
2018-06-01,1.382624441,1.365243545
2018-06-08,1.389079524,1.369103893
2018-06-15,1.391714892,1.380779457
2018-06-22,1.390852187,1.373918137
2018-06-25,1.391108764,1.369844197
2018-06-29,1.391353311,1.365771826
2018-06-30,1.392828379,1.367092507
2018-07-06,1.394284108,1.36624745
2018-07-13,1.404151158,1.378449504
2018-07-16,1.398884363,1.372148554
2018-07-20,1.393608032,1.366061108
2018-07-27,1.398189133,1.386072199
2018-08-03,1.417568586,1.429933158
2018-08-10,1.422635813,1.445510981
2018-08-17,1.447471535,1.475589919
2018-08-24,1.432698932,1.458015285
2018-08-31,1.442754935,1.456145188
2018-09-07,1.43451819,1.443176259
2018-09-14,1.413520145,1.431532122
2018-09-21,1.441613246,1.432414485
2018-09-28,1.451778181,1.441031442
2018-09-30,1.470550094,1.451106982
2018-10-12,1.489219411,1.45853169
2018-10-19,1.497586284,1.453208837
2018-10-26,1.522531417,1.471274932
2018-11-02,1.542441631,1.473148688
2018-11-09,1.531780021,1.465869519
2018-11-16,1.530800579,1.472017782
2018-11-23,1.524444734,1.498153764
2018-11-30,1.561518215,1.526348165
2018-12-07,1.579674133,1.508647072
2018-12-10,1.581335624,1.505758342
2018-12-13,1.582990014,1.502932246
2018-12-14,1.584637355,1.500156427
2018-12-21,1.588589244,1.501176104
2018-12-28,1.587713368,1.506375455
2019-01-04,1.578232657,1.505037838
2019-01-11,1.579218895,1.502076543
2019-01-18,1.615444544,1.520531388
2019-01-25,1.660195334,1.532314023
2019-02-01,1.664440609,1.546714714
2019-02-08,1.669623714,1.546211243
2019-02-15,1.67465118,1.543729385
2019-02-22,1.680220644,1.543272602
2019-03-01,1.651246643,1.552182954
2019-03-08,1.623982086,1.537427593
2019-03-15,1.607711551,1.537633047
2019-03-22,1.581292202,1.526461307
2019-03-29,1.597569615,1.547519429
2019-03-31,1.613159943,1.558950939
2019-04-04,1.628617014,1.571934957
2019-04-05,1.628857535,1.576345733
2019-04-12,1.628951049,1.580804151
2019-04-19,1.614758723,1.586382949
2019-04-24,1.621773036,1.59196973
2019-04-26,1.628708678,1.597237985
2019-04-29,1.625890239,1.59688206
2019-04-30,1.623019969,1.596978527
2019-05-03,1.612354941,1.5953453
2019-05-10,1.601654946,1.591417413
2019-05-17,1.681768477,1.628845302
2019-05-24,1.786120653,1.672111071
2019-05-29,1.799769039,1.664409779
2019-05-31,1.811919889,1.656648815
2019-06-06,1.826485225,1.661943607
2019-06-07,1.842047797,1.664836273
2019-06-14,1.856839413,1.662591153
2019-06-21,1.803308031,1.654516901
2019-06-28,1.796567931,1.676258551
2019-06-30,1.806495924,1.680685585
2019-07-05,1.816243309,1.687031226
2019-07-11,1.850305478,1.696598609
2019-07-12,1.884093942,1.708235529
2019-07-19,1.922715682,1.709516722
2019-07-23,1.873423186,1.696275823
2019-07-26,1.823534485,1.679447909
2019-07-29,1.785767074,1.666723921
2019-07-30,1.74747042,1.654246991
2019-08-02,1.708605408,1.646118065
2019-08-06,1.771808453,1.671199198
2019-08-09,1.833637469,1.692695371
2019-08-16,1.811159448,1.684241633
2019-08-23,1.791632533,1.677713221
2019-08-29,1.804802387,1.679783142
2019-08-30,1.817836476,1.682931393
2019-08-31,1.82118656,1.682797274
2019-09-05,1.824346629,1.683627723
2019-09-06,1.827317183,1.683802462
2019-09-12,1.83232948,1.685497147
2019-09-13,1.821602865,1.669090761
2019-09-20,1.809632289,1.650536916
2019-09-27,1.804676089,1.64589538
2019-09-30,1.801317148,1.643203952
2019-10-04,1.786464155,1.638304269
2019-10-11,1.77129406,1.632699444
2019-10-18,1.791133842,1.648782897
2019-10-25,1.766276942,1.649671507
2019-11-01,1.787136137,1.655028214
2019-11-08,1.807311126,1.654525824
2019-11-15,1.857470618,1.67868647
2019-11-22,1.873083481,1.692354734
2019-11-29,1.871509181,1.691630207
2019-11-30,1.869209692,1.689141899
2019-12-06,1.866909693,1.685788126
2019-12-13,1.911787278,1.706387855
2019-12-20,1.871201595,1.71100178
2019-12-27,1.882510789,1.714524867
2020-01-03,1.937851276,1.749569785
2020-01-10,1.957672313,1.755746568
2020-01-17,1.916829938,1.734074533
2020-01-23,1.904328652,1.727122631
2020-01-24,1.92902996,1.738867668
2020-01-31,1.95307642,1.751440358
2020-02-07,2.016994027,1.780094324
2020-02-14,2.002811405,1.768982064
2020-02-21,2.012038346,1.771288414
2020-02-28,2.01590572,1.781709657
2020-02-29,2.016421939,1.7869045
2020-03-06,2.020189904,1.791138221
2020-03-13,2.267729668,1.877362228
2020-03-20,2.488042551,1.955987097
2020-03-27,2.53373982,1.989613884
2020-04-03,2.549138942,1.9964055
2020-04-10,2.426141453,1.956096478
2020-04-17,2.431368704,1.951564856
2020-04-24,2.403893906,1.937560368
2020-04-30,2.36371184,1.935931166
2020-05-01,2.366779745,1.941713816
2020-05-08,2.368919543,1.947662124
2020-05-15,2.405503346,1.951459887
2020-05-22,2.498025574,1.996270939
2020-05-29,2.555869878,2.011723366
2020-05-31,2.602154857,2.032416109
2020-06-05,2.633652906,2.053029895
2020-06-12,2.638991442,2.061354703
2020-06-19,2.628636442,2.067763038
2020-06-24,2.627778431,2.063360246
2020-06-26,2.637063655,2.077459092
2020-07-03,2.646250454,2.095659432
2020-07-10,2.802775291,2.185547033
2020-07-17,2.858492553,2.205653234
2020-07-24,2.980982445,2.254362414
2020-07-31,2.985044781,2.260443107
2020-08-07,3.143045842,2.340147434
2020-08-14,3.040694764,2.302031256
2020-08-21,3.022657085,2.301085781
2020-08-28,2.957262525,2.293062962
2020-09-04,2.952915395,2.312357623
2020-09-11,2.950201601,2.308857686
2020-09-18,2.990105869,2.326032259
2020-09-25,3.00133855,2.31063746
2020-09-30,2.913490821,2.291246603
2020-10-02,2.886389904,2.287680215
2020-10-09,2.858645605,2.282575492
2020-10-16,2.812104301,2.271770957
2020-10-23,2.759128905,2.275760802
2020-10-30,2.838929147,2.296023678
2020-10-31,2.888773574,2.311209379
2020-11-06,3.003407913,2.332148482
2020-11-13,2.966513915,2.338569694
2020-11-20,3.13841589,2.399242736
2020-11-27,3.13240181,2.419612376
2020-12-04,3.229425847,2.49756555
2020-12-11,3.552793934,2.551710862
2020-12-18,3.594621022,2.553614196
2020-12-25,3.570915361,2.540067204
2020-12-31,3.593016054,2.545775382
2021-01-08,3.752430106,2.599988183
2021-01-15,3.607052094,2.538004406
2021-01-22,3.486801897,2.482943435
2021-01-29,3.439551144,2.471714927
2021-02-05,3.418957085,2.459377775
2021-02-10,3.321007886,2.476852776
2021-02-19,3.406703934,2.547003346
2021-02-26,3.622176549,2.640112182
2021-03-05,3.520908614,2.633285317
2021-03-12,3.538946256,2.676718503
2021-03-19,3.472204517,2.671301707
2021-03-26,3.578371571,2.643044498
2021-04-02,3.570845194,2.634158263
2021-04-09,3.507649922,2.611171511
2021-04-16,3.592695072,2.625084655
2021-04-23,3.661409951,2.670825573
2021-04-30,3.750418223,2.695801228
2021-05-07,4.025872728,2.827856921
2021-05-14,3.996249337,2.841403206
2021-05-21,3.730351357,2.760657351
2021-05-28,3.745261685,2.745068623
2021-06-04,3.504911563,2.716904076
2021-06-11,3.334177791,2.682506617
2021-06-18,3.468212386,2.67151524
2021-06-25,3.494061418,2.70792977
2021-07-02,3.429299724,2.683278265
2021-07-09,3.288201766,2.652813164
2021-07-16,3.412560961,2.720456198
2021-07-23,3.446387302,2.722489059
2021-07-30,3.56676897,2.758570219
2021-08-06,3.355371026,2.66281158
2021-08-13,3.528169574,2.705497684
2021-08-20,3.606091871,2.700148985
2021-08-27,3.675695993,2.721934836
2021-09-03,3.629301058,2.738604187
2021-09-10,3.952957828,2.859504531
2021-09-17,3.901493639,2.81918865
2021-09-24,4.143706741,2.883715077
2021-09-30,4.138933939,2.919627928
2021-10-08,4.352756845,2.987785797
2021-10-15,4.333209899,2.998650648
2021-10-22,4.559761591,2.984096128
2021-10-29,4.261215948,2.942470807
2021-11-05,4.106984687,2.929794896
2021-11-12,4.230124048,2.938612124
2021-11-19,4.140605237,2.936867056
2021-11-26,4.09962136,2.890851252
2021-12-03,4.200836121,2.910608046
2021-12-10,4.228661365,2.911778767
2021-12-17,4.093937659,2.90551109
2021-12-24,4.170740495,2.912056954
2021-12-31,4.048967875,2.892708589
2022-01-07,4.096372812,2.927427659
2022-01-14,4.231616609,2.976579895
2022-01-21,4.257817409,3.059248396
2022-01-28,4.402648873,3.10205693
2022-01-31,4.421583592,3.144900476
2022-02-11,4.436836747,3.189668814
2022-02-18,4.426704743,3.152262975
2022-02-25,4.692422387,3.272464359
2022-03-04,4.858387628,3.3344554
2022-03-11,5.108837284,3.431782013
2022-03-18,5.28817521,3.396845492
2022-03-25,5.434742337,3.421502179
2022-04-01,5.416700573,3.362346808
2022-04-08,5.358288089,3.342563032
2022-04-15,5.32480148,3.369743055
2022-04-22,5.592317607,3.383840797
2022-04-29,5.884417566,3.452791141
2022-05-06,5.849262681,3.418593216
2022-05-13,6.034230631,3.431457878
2022-05-20,6.053596246,3.400342266
2022-05-27,6.161973067,3.431849412
2022-06-02,6.031444471,3.415393458
